binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,multicollinearity 1,pd qcut1,corr_feature_class,duplicate_1,multicollinearity 2,informative_2,random choice 7,min max scaling,multicollinearity 4,outliers 1,multicollinearity 3,correlated w target 1,uniform corr 2,correlated w target 2,random choice 2,outliers 2,random label num 13,pd qcut3,standard scaling,target,uniform corr 1,class,random label num 4_label num lo 2,random label num 4_label num lo 3,random label num 4_label num lo 4,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,random choice 4_North,random choice 4_South,random choice 4_West,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2
0,0.009,0.002,0.502,0.501,0.001,0.153,0.001,0.022,0.001,-3.61795567508189,0,9.208327315274474,-0.9991017824896424,-0.2885508011605997,-0.6638599972813359,0.137,168.92568891299527,-1.4992792098861292,0.43972768825840297,-1.6729353460678362,-0.619446812071753,0.3549130670320614,0.007353261174264603,1,3.3491681138186613,0.059,0.134,18667.321023061606,-0.9042236742875387,0.17059471548691202,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.011,0.002,0.001,0.001,0.001,0.153,0.11,0.133,0.283,-1.4700443722536436,0,4.99348137841603,1.2466861830450993,-1.076230941144649,1.153596854135379,0.152,564.3770370084126,0.043523933677798096,-0.5519582756584044,-0.19535328805123303,1.0143791075578503,0.0012392123217447755,-7.455246576507199,0,1.550274817779814,0.08,0.446,43496.809607411036,2.324369783092482,0.0026888322819117044,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.002,0.002,0.001,0.501,0.001,0.001,0.001,0.01,0.001,-0.2821723447169493,0,5.384145082268539,0.9627768269601935,-0.8054450216800607,0.8593974662590766,0.139,493.5938657347299,1.3210653282349818,1.074519691089871,-2.726235315311468,-1.6969846996620293,0.922329888931587,-1.6186708381236732,0,0.42403132818330436,0.073,0.446,76550.68395869865,1.7782165547025084,0.4937711066365717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,0.002,0.001,0.502,0.001,0.001,0.153,0.11,0.133,0.283,-3.61795567508189,0,-0.7045863520662787,-2.9574409509433037,-1.2327122715675702,2.0336452879154674,0.137,253.13772624535164,-2.999926215814126,1.1856000453891689,-2.726235315311468,-8.554662783497676,0.0012392123217447755,5.706663059138724,1,3.657945841859739,0.187,0.143,18667.321023061606,5.451234575139656,0.9498839644801322,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.007,0.322,0.001,0.001,0.001,0.001,0.001,0.022,0.001,1.598928126359299,0,0.6878477466858424,1.1411652716579705,0.8935233053106526,1.05944863351561,0.152,341.40687524528624,-2.999926215814126,-5.263835753388247,-2.726235315311468,2.330091128228416,0.9161366986172511,-7.455246576507199,0,4.78868059701139,0.073,0.446,43454.47090767475,2.1539258469951807,0.5050809691111685,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.005,0.001,0.502,0.501,0.001,0.001,0.001,0.011,0.001,0.5947751580737322,0,4.150082723658181,2.485477863898728,0.4332055459183953,2.399635889224372,0.139,137.37226530300734,-0.970459838497798,-2.638050971674688,-0.6637447738985064,-8.554662783497676,0.0012392123217447755,4.871861737632675,1,1.5944802812332277,0.063,0.143,18667.321023061606,4.626787069235546,0.829831776974192,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.016,0.001,-0.26107985903678105,0,3.804037465062776,-0.6479636736717482,1.2165204210977356,-0.747560845179044,0.139,350.38318605351685,0.2723382017694423,1.6735381933358475,0.6678206864718885,-8.554662783497676,0.2164300569876194,-2.271983932612917,0,-3.427562756103911,0.055,0.446,36156.752397505996,-1.187224231921867,0.2557432430190043,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0.006,0.002,0.001,0.001,0.001,0.153,0.11,0.133,0.283,-0.7766545009690784,1,3.22370100417746,-0.8922328125534437,-0.721272066614525,-0.8182224427035356,0.152,191.89688923931953,-0.2097073866518372,-0.7079459579868504,-2.726235315311468,-8.554662783497676,0.46090069085623325,0.158378571668086,1,-3.427562756103911,0.055,0.446,18667.321023061606,-1.266374292198878,0.6414079879564987,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.006,0.004,0.001,0.001,0.001,0.001,0.002,0.021,0.001,1.219717025464824,0,2.310681298460784,-0.7273359834485558,-3.4950514971001625,-0.09154666780661158,0.139,326.8141276688299,-0.5741990099484563,-5.263835753388247,-1.0936008070634398,-3.1910843764821046,0.25925404901275395,-7.455246576507199,0,-3.427562756103911,0.074,0.134,59013.132081002004,0.24111056261580832,0.5385964337057128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.021,0.001,0.8154418940606142,1,-10.579193290649087,0.9753643211025785,0.11120027289771052,-1.8069333466532713,0.134,330.15120185653416,-0.5305710525221137,-1.1488634574992684,-2.726235315311468,-1.2330655758226754,0.12394001148329042,-7.455246576507199,1,-0.9904126564143139,0.187,0.068,18667.321023061606,-3.935564389564147,0.3509898056885915,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
